Training: 2023-12-28 00:21:17,101-rank_id: 0
Training: 2023-12-28 00:21:37,121-Speed 793.74 samples/sec   Loss 46.5333   LearningRate 0.020000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 54 hours
Training: 2023-12-28 00:21:38,739-Speed 791.88 samples/sec   Loss 46.6299   LearningRate 0.020000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 38 hours
Training: 2023-12-28 00:21:40,359-Speed 790.60 samples/sec   Loss 47.0136   LearningRate 0.020000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2023-12-28 00:21:41,975-Speed 791.83 samples/sec   Loss 47.1443   LearningRate 0.020000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 26 hours
Training: 2023-12-28 00:21:43,593-Speed 791.16 samples/sec   Loss 47.2043   LearningRate 0.020000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 24 hours
Training: 2023-12-28 00:21:45,211-Speed 791.84 samples/sec   Loss 47.1149   LearningRate 0.020000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 22 hours
Training: 2023-12-28 00:21:46,828-Speed 791.78 samples/sec   Loss 47.5139   LearningRate 0.020000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 20 hours
Training: 2023-12-28 00:21:48,448-Speed 790.28 samples/sec   Loss 47.2211   LearningRate 0.020000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 19 hours
Training: 2023-12-28 00:21:50,065-Speed 791.51 samples/sec   Loss 46.9416   LearningRate 0.020000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 18 hours
Training: 2023-12-28 00:21:51,735-Speed 767.23 samples/sec   Loss 47.1884   LearningRate 0.020000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 17 hours
Training: 2023-12-28 00:21:53,354-Speed 790.95 samples/sec   Loss 46.9035   LearningRate 0.020000   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 17 hours
Training: 2023-12-28 00:21:54,972-Speed 791.44 samples/sec   Loss 46.8915   LearningRate 0.020000   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 16 hours
Training: 2023-12-28 00:21:56,592-Speed 790.77 samples/sec   Loss 46.9083   LearningRate 0.020000   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 16 hours
Training: 2023-12-28 00:21:58,210-Speed 791.11 samples/sec   Loss 46.8128   LearningRate 0.020000   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 32768   Required: 15 hours
Training: 2023-12-28 00:21:59,829-Speed 790.93 samples/sec   Loss 47.0901   LearningRate 0.020000   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 15 hours
Training: 2023-12-28 00:22:01,449-Speed 790.25 samples/sec   Loss 47.0630   LearningRate 0.020000   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 14 hours
Training: 2023-12-28 00:22:03,067-Speed 791.14 samples/sec   Loss 46.9384   LearningRate 0.020000   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 14 hours
Training: 2023-12-28 00:22:04,685-Speed 790.93 samples/sec   Loss 47.1453   LearningRate 0.020000   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 14 hours
Training: 2023-12-28 00:22:06,303-Speed 791.38 samples/sec   Loss 46.9052   LearningRate 0.020000   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 14 hours
Training: 2023-12-28 00:22:07,922-Speed 790.96 samples/sec   Loss 46.9136   LearningRate 0.020000   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 13 hours
Training: 2023-12-28 00:22:09,541-Speed 791.26 samples/sec   Loss 46.8530   LearningRate 0.020000   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 13 hours
Training: 2023-12-28 00:22:11,159-Speed 790.82 samples/sec   Loss 47.0381   LearningRate 0.020000   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 13 hours
Training: 2023-12-28 00:22:12,779-Speed 790.33 samples/sec   Loss 46.9058   LearningRate 0.020000   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 13 hours
Training: 2023-12-28 00:22:14,401-Speed 789.37 samples/sec   Loss 46.9376   LearningRate 0.020000   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 13 hours
Training: 2023-12-28 00:22:16,022-Speed 790.08 samples/sec   Loss 46.6710   LearningRate 0.020000   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:17,643-Speed 790.10 samples/sec   Loss 46.6581   LearningRate 0.020000   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:19,263-Speed 790.02 samples/sec   Loss 46.8413   LearningRate 0.020000   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:20,889-Speed 787.63 samples/sec   Loss 46.7011   LearningRate 0.020000   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:22,515-Speed 787.73 samples/sec   Loss 46.7219   LearningRate 0.020000   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:24,134-Speed 790.33 samples/sec   Loss 46.6350   LearningRate 0.020000   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 131072   Required: 12 hours
Training: 2023-12-28 00:22:25,755-Speed 789.70 samples/sec   Loss 46.6646   LearningRate 0.020000   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 131072   Required: 12 hours
Training: 2023-12-28 00:22:27,375-Speed 790.08 samples/sec   Loss 46.6979   LearningRate 0.020000   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 131072   Required: 12 hours
Training: 2023-12-28 00:22:28,996-Speed 789.71 samples/sec   Loss 46.5317   LearningRate 0.020000   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 131072   Required: 12 hours
Training: 2023-12-28 00:22:30,660-Speed 769.56 samples/sec   Loss 46.6596   LearningRate 0.020000   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 131072   Required: 12 hours
Training: 2023-12-28 00:22:32,276-Speed 792.94 samples/sec   Loss 46.5755   LearningRate 0.020000   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 12 hours
Training: 2023-12-28 00:22:33,896-Speed 789.90 samples/sec   Loss 46.6409   LearningRate 0.020000   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:35,517-Speed 789.74 samples/sec   Loss 46.6328   LearningRate 0.020000   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:37,138-Speed 789.69 samples/sec   Loss 46.6075   LearningRate 0.020000   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:38,759-Speed 790.17 samples/sec   Loss 46.5819   LearningRate 0.020000   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:40,378-Speed 790.75 samples/sec   Loss 46.5296   LearningRate 0.020000   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:41,998-Speed 789.95 samples/sec   Loss 46.5952   LearningRate 0.020000   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:43,620-Speed 789.99 samples/sec   Loss 46.4758   LearningRate 0.020000   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:45,242-Speed 789.98 samples/sec   Loss 46.4877   LearningRate 0.020000   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:46,862-Speed 790.16 samples/sec   Loss 46.4159   LearningRate 0.020000   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 65536   Required: 11 hours
Training: 2023-12-28 00:22:48,490-Speed 786.43 samples/sec   Loss 46.3242   LearningRate 0.020000   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:50,111-Speed 789.54 samples/sec   Loss 46.2631   LearningRate 0.020000   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:51,733-Speed 789.24 samples/sec   Loss 46.2351   LearningRate 0.020000   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:53,350-Speed 791.70 samples/sec   Loss 46.1233   LearningRate 0.020000   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:54,971-Speed 789.65 samples/sec   Loss 46.4068   LearningRate 0.020000   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:56,589-Speed 790.88 samples/sec   Loss 46.3955   LearningRate 0.020000   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 131072   Required: 11 hours
